Bar0, 13.06715063520876
Bar1, 18.87477313974587
Bar2, 49.36479128856616
Bar3, 69.69147005444636
Bar4, 85.66243194192378
Bar5, 105.98911070780397
Bar6, 277.3139745916516
Bar7, 281.6696914700543
Bar8, 344.1016333938294
Bar9, 653.3575317604356
Bar10, 704.174228675136
Bar0, 15.356489945155381
Bar1, 47.16636197440583
Bar2, 65.81352833638029
Bar3, 83.3638025594149
Bar4, 106.39853747714798
Bar5, 275.31992687385736
Bar6, 279.7074954296161
Bar7, 315.9049360146252
Bar8, 345.5210237659963
Bar9, 591.2248628884826
Bar10, 597.8062157221207
